City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Cape Town,19,ZA,1595951511,58,-33.93,18.42,61.0,19.46
Bluff,100,NZ,1595951512,85,-46.6,168.33,43.0,11.72
Thompson,90,CA,1595951432,93,55.74,-97.86,59.0,5.82
Bambous Virieux,40,MU,1595951512,78,-20.34,57.76,71.6,8.05
Jalu,0,LY,1595951512,19,29.03,21.55,97.54,11.59
Jamestown,20,US,1595951512,60,42.1,-79.24,79.0,8.05
Butaritari,100,KI,1595951512,78,3.07,172.79,83.25,16.33
Yangi Marg`ilon,70,UZ,1595951513,35,40.43,71.72,86.0,12.46
Tiksi,100,RU,1595951513,85,71.69,128.87,40.14,10.63
Port Alfred,0,ZA,1595951513,67,-33.59,26.89,62.38,7.81
Longyearbyen,75,SJ,1595951513,55,78.22,15.64,64.4,9.17
Muroto-misakicho,85,JP,1595951513,91,33.28,134.15,79.16,4.61
Bengkulu,78,ID,1595951514,88,-3.8,102.27,76.3,6.93
Busselton,92,AU,1595951514,89,-33.65,115.33,51.01,6.6
Puerto Colombia,20,CO,1595951514,70,10.99,-74.95,86.0,3.36
Tuktoyaktuk,90,CA,1595951514,93,69.45,-133.04,48.2,4.7
Dīglūr,74,IN,1595951514,76,18.55,77.6,81.55,4.52
Calama,0,CL,1595951514,3,-22.47,-68.93,62.6,17.22
Maniitsoq,100,GL,1595951514,94,65.42,-52.9,45.0,5.23
Shādegān,4,IR,1595951515,67,30.65,48.66,105.8,11.41
Changzhou,100,CN,1595951515,86,31.78,119.97,81.0,5.44
Esperance,75,AU,1595951515,100,-33.87,121.9,50.0,8.05
Darnah,0,LY,1595951515,69,32.77,22.64,80.47,17.05
Rikitea,86,PF,1595951515,77,-23.12,-134.97,72.1,17.58
Strezhevoy,31,RU,1595951516,76,60.73,77.59,53.6,4.92
Meulaboh,100,ID,1595951516,91,4.14,96.13,74.07,9.75
Thinadhoo,71,MV,1595951516,77,0.53,72.93,82.62,11.16
